K00838	-3.67056952658738
K15102	1.81248873366359
K01537	-1.63606593883691
K00294	-1.89322356257534
K18703	-1.7176037833018
K01739	-2.01000683942817
K13237	-1.63000265333462
K03857	1.59212321665012
K07304	-2.57017618483463
K01655	-1.50952550056584
K01754	-1.59643398299139
K04618	3.25410479146861
K07025	1.8818329260682
K18551	1.8818329260682
K01915	-2.46308071915399
K01647	-1.64323517882913
K11811	-1.50106003810452
K01725	1.58540382769291
K01104	-1.81750799138561
K00262	-3.84397544859937
K15105	-1.96721333535007
K09244	-1.87272396228164
K00693	-1.6255917191626
K00074	-1.89743606104208
K17775	-1.51691833180672
K01649	-2.06953539458209
K19791	-2.199267033811
K22277	-2.26381117611992
K16075	-2.09748886648634
K17877	3.87029388477522
K01443	-3.11129028883944
K00311	-2.97076783567838
K01969	-2.60875875809672
K15104	5.10645000365611
K00451	-2.60801064329904
K01951	-4.14620048227651
K22314	-4.14620048227651
K03448	1.72443780649842
K00958	-2.1170923871398
K10534	7.5157075144112
K00276	-2.66913326386165
K00616	-1.88981903531415
K03522	-1.51236808784978
K00236	2.75346497286974
K00140	-1.76648999135343
K08157	2.42629400266372
K08141	-3.15247997081367
K01424	-2.50968563717321
K01181	-2.04462280565865
K09780	-2.5862935400424
K00053	-2.00098947578905
K02891	-1.543326715917
K03785	1.80601868843521
K17742	-2.28598678894086
K18337	-1.53712329297957
K00326	1.86663695528238
K00318	-3.45838083942938
K10862	-1.76223959404346
K00166	-2.75436830680749
K00547	-2.87394255543687
K00589	2.00045877442349
K09827	1.77251458496607
K00826	-2.91782532896921
K03521	-1.50884315024254
K01702	-3.47486595298567
K00008	-1.96049523693368
K01850	-1.65125470803762
K01954	-2.47967429923466
K11541	-2.47967429923466
K03854	-3.15920593253142
K10967	-3.15920593253142
K08197	-1.82182932609519
K01852	1.77533753374458
K00457	-3.46143888356053
K00052	-2.07155404163695
K00122	3.02880577410998
K01653	-2.43076677754282
K00600	-1.77395336701985
K00226	-2.32698508520668
K00254	-2.32698508520668
K00272	-7.08527602241105
K00273	-7.08527602241105
K15084	-1.57845078294865
K01505	-6.68227419365344
K06215	-2.36816152149914
K08681	-2.41112812419836
K08139	-2.1484880288404
K00559	4.06024083076354
K16261	-2.410566416489
K01455	-1.57581768782041
K00641	-3.03242586631763
K00463	-9.62174362347515
K20403	1.53383339427055
K09831	5.77863763917281
K22151	-2.61796405579455
K00598	-2.1838187531054
K11426	-2.1838187531054
K09246	-1.69939016180381
K01184	2.19915675189533
K01213	2.19915675189533
K18163	-1.52047848893986
K01763	-1.92247056172381
K20247	-1.92247056172381
K00818	-2.34714283245129
K13577	-1.616674183308
K05824	-1.7627943852523
K07734	2.69503117738169
K08178	2.00908832118306
K05917	6.2989818862726
K01652	-2.69818337102255
K01293	1.52610492208298
K01684	3.41116509740075
K00286	-1.63995539280019
K00480	-1.98915480229679
K03327	-2.56148463806914
K18693	-5.21741097156135
K15877	8.5961372684169
K01426	-5.27706884383704
K01078	-6.22288437589921
K00252	-2.26051656124549
K22243	-2.04202184300104
K01824	2.3787441842195
K09022	-2.20191779885258
K13348	-1.91595789328433
K04450	2.53703009391579
K09047	2.53703009391579
K01533	-2.58656206190827
K14454	-2.12433837635681
K17740	-1.9281127718525
K14708	-2.64652669972422
K01178	-2.48317502699473
K01607	-3.26208625168321
K04563	5.31522000563016
K05916	5.31522000563016
K01940	-1.57612010885169
K01634	-1.54315402164092
K22149	-2.58700065520825
K01568	-6.79193393188005
K01519	-2.08146908065995
K18107	-1.87423976145017
K01183	1.79769035936472
K01126	1.56930331527552
K05658	-1.64677137384805
K01800	-7.56810996550578
K01555	-4.17333288695032
K00489	2.10128093896718
K01187	-1.56302112536666
K01279	-4.52860517493665
