protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g10899.t1,g10899,0.690290111339055,2261.11756276803,1.81779552069299e-14,nan,
g10899.t2,g10899,0.690290111339055,2261.11756276803,1.81779552069299e-14,nan,
g10899.t3,g10899,0.690290111339055,2261.11756276803,1.81779552069299e-14,nan,
g647.t1,g647,0.690141022185614,1148.53199907837,4.15993954412357e-08,GO:0016409,palmitoyltransferase activity
g6589.t2,g6589,0.690010562806864,1955.19466236411,3.23744415115677e-06,nan,
g6589.t1,g6589,0.690010562806864,1955.19466236411,3.23744415115677e-06,nan,
g6853.t1,g6853,0.689716162020183,9763.85489601521,2.7754311157687e-07,GO:0006412,translation
g6853.t1,g6853,0.689716162020183,9763.85489601521,2.7754311157687e-07,GO:0005840,ribosome
g6853.t1,g6853,0.689716162020183,9763.85489601521,2.7754311157687e-07,GO:0003735,structural constituent of ribosome
g7985.t1,g7985,0.689098725452203,9374.21562799266,0.0032607193509053,GO:0055085,transmembrane transport
g7985.t1,g7985,0.689098725452203,9374.21562799266,0.0032607193509053,GO:0022857,transmembrane transporter activity
g11477.t2,g11477,0.688890759249518,3157.69330323172,0.139734364341241,GO:0010181,FMN binding
g11477.t2,g11477,0.688890759249518,3157.69330323172,0.139734364341241,GO:0016491,oxidoreductase activity
g11477.t1,g11477,0.688890759249518,3157.69330323172,0.139734364341241,GO:0010181,FMN binding
g11477.t1,g11477,0.688890759249518,3157.69330323172,0.139734364341241,GO:0016491,oxidoreductase activity
g6978.t1,g6978,0.688838026867898,2943.78532994513,1.25682734538904e-06,nan,
g4754.t1,g4754,0.688809564415618,231.005529116261,7.16417275637322e-05,GO:0006760,folic acid-containing compound metabolic process
g4754.t1,g4754,0.688809564415618,231.005529116261,7.16417275637322e-05,GO:0004150,dihydroneopterin aldolase activity
g13134.t1,g13134,0.687859447612237,1384.76538837689,4.37947951691335e-09,nan,
g346.t1,g346,0.687610661220293,254.865734628132,0.201256808477945,nan,
g7028.t1,g7028,0.687248425193793,1046.28311246113,2.94797851633561e-07,nan,
g12126.t1,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0004672,protein kinase activity
g12126.t1,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0005515,protein binding
g12126.t1,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0005524,ATP binding
g12126.t1,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0006468,protein phosphorylation
g12126.t2,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0004672,protein kinase activity
g12126.t2,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0005515,protein binding
g12126.t2,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0005524,ATP binding
g12126.t2,g12126,0.687222645048221,1960.81396799838,1.0523959874472e-17,GO:0006468,protein phosphorylation
g6870.t1,g6870,0.686928516910506,111.203001799201,0.391541449025217,GO:0004555,"alpha,alpha-trehalase activity"
g6870.t1,g6870,0.686928516910506,111.203001799201,0.391541449025217,GO:0005991,trehalose metabolic process
g12136.t1,g12136,0.686516933188088,2142.27104513503,1.63933899484098e-07,nan,
g10098.t1,g10098,0.686454707874185,1837.7598764977,1.2183540840242602e-09,GO:0006508,proteolysis
g10712.t1,g10712,0.686166068039441,854.795639536142,1.5918842033740198e-11,nan,
g13089.t1,g13089,0.685520960159896,1945.13578900589,1.16009209003457e-08,nan,
g7131.t1,g7131,0.684879066527848,1940.67692413052,2.89024399666355e-12,nan,
g7131.t2,g7131,0.684879066527848,1940.67692413052,2.89024399666355e-12,nan,
g1665.t1,g1665,0.683779302990508,2141.82654102093,2.32679281028175e-07,nan,
g7972.t1,g7972,0.683681942559128,961.257277601673,2.29365425664143e-14,GO:0016020,membrane
g7972.t1,g7972,0.683681942559128,961.257277601673,2.29365425664143e-14,GO:0055085,transmembrane transport
