protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g2066.t1,g2066,0.659619103051787,1797.86551741473,4.62763252718161e-09,nan,
g1479.t1,g1479,0.658826872588496,747.995191570325,0.0002389248156713,nan,
g12511.t1,g12511,0.658681263406229,1023.90769744669,1.67870145095858e-14,nan,
g8069.t1,g8069,0.658604867223965,297.401715126577,5.77600518405435e-07,GO:0006506,GPI anchor biosynthetic process
g8069.t1,g8069,0.658604867223965,297.401715126577,5.77600518405435e-07,GO:0000009,"alpha-1,6-mannosyltransferase activity"
g8069.t1,g8069,0.658604867223965,297.401715126577,5.77600518405435e-07,GO:0004376,GPI mannosyltransferase activity
g5500.t1,g5500,0.658008016947564,2917.18333654716,7.28738778180541e-17,GO:0005975,carbohydrate metabolic process
g5500.t1,g5500,0.658008016947564,2917.18333654716,7.28738778180541e-17,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
g5500.t1,g5500,0.658008016947564,2917.18333654716,7.28738778180541e-17,GO:0003824,catalytic activity
g5500.t1,g5500,0.658008016947564,2917.18333654716,7.28738778180541e-17,GO:0043169,cation binding
g1505.t1,g1505,0.657465152097469,10629.5133075487,1.01051299520948e-06,GO:0006412,translation
